Ad ID Request/Update Date,App Latest Version,App Live Date,Studio Name,Project code,App Name,Platform,Ad Network,Device,Ad Unit Type,Ad Size,Ad Unit ID,Secondary Ad Unit ID,Store/Bundle ID,App Orientation,"Week 0
Impressions","Week 1
Impressions","Week 0
eCPM","Week 1
eCPM","Week 0
Revenue","Week 1
Revenue",Week 0 Sessions,Week 1 Sessions,Week 0 Impressions per Sessions,Week 1 Impressions per Sessions,Week 1 Revenue per Sessions,Comment,Ad Network Dashboard Traffic Check,Ad unit ID copied correctly to Mediator,Mediator Waterfall Traffic Check,Charles Proxy Check
11/12/2015,,,Simply Fun Media,SFM404,Secret Princess in High School,iOS,Admob,Tablet,Interstitial,768x1024,ca-app-pub-3603147014841217/2704673686,,1059628523,Portrait,,,,,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404,Secret Princess in High School,iOS,Mopub,Phone,Banner,320x50,40ecfa4d4d3f40ea9b4724b88e55b40b,,1059628523,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404,Secret Princess in High School,iOS,Mopub,Phone,Banner,320x50,40ecfa4d4d3f40ea9b4724b88e55b40b,,1059628523,Portrait,,,,,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404,Secret Princess in High School,iOS,Mopub,Phone,Interstitial,320x480,81da3fef478f4c86915f5bd404fce86d,,1059628523,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404,Secret Princess in High School,iOS,Mopub,Phone,Interstitial,320x480,81da3fef478f4c86915f5bd404fce86d,,1059628523,Portrait,,,,,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404,Secret Princess in High School,iOS,Mopub,Tablet,Banner,728x90,98c3b8f193f44587b602503f1b3ebecd,,1059628523,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404,Secret Princess in High School,iOS,Mopub,Tablet,Banner,728x90,98c3b8f193f44587b602503f1b3ebecd,,1059628523,Portrait,,,,,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404,Secret Princess in High School,iOS,Mopub,Tablet,Interstitial,768x1024,dae09ae549ed40678939eb657aa15c6d,,1059628523,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404,Secret Princess in High School,iOS,Mopub,Tablet,Interstitial,768x1024,dae09ae549ed40678939eb657aa15c6d,,1059628523,Portrait,,,,,,,,,,,,,,,,
11/12/2015,V1.0,12/17/2015,Simply Fun Media,SFM036G,Princess Salon - Royal Family,GP,Admob,Phone,Banner,320x50,ca-app-pub-3603147014841217/4460608487,,com.simplyfunmedia.android_royalfamily,Portrait,"39,915","113,317",$0.03,$0.03,$1.19,$3.16,"11,757","38,890",,,,,12/21/2015,N/A,N/A,
11/12/2015,V1.0,12/17/2015,Simply Fun Media,SFM036G,Princess Salon - Royal Family,GP,Admob,Phone,Interstitial,320x480,ca-app-pub-3603147014841217/8890808082,,com.simplyfunmedia.android_royalfamily,Portrait,"12,167","33,969",$0.18,$0.23,$2.13,$7.81,"11,757","38,890",,,,,12/21/2015,N/A,N/A,
11/12/2015,V1.0,12/17/2015,Simply Fun Media,SFM036G,Princess Salon - Royal Family,GP,Admob,Tablet,Banner,728x90,ca-app-pub-3603147014841217/5937341687,,com.simplyfunmedia.android_royalfamily,Portrait,"23,601","73,590",$0.01,$0.02,$0.27,$1.53,"11,757","38,890",,,,,12/21/2015,N/A,N/A,
11/12/2015,V1.0,12/17/2015,Simply Fun Media,SFM036G,Princess Salon - Royal Family,GP,Admob,Tablet,Interstitial,768x1024,ca-app-pub-3603147014841217/1367541281,,com.simplyfunmedia.android_royalfamily,Portrait,"8,823","25,037",$0.28,$0.30,$2.44,$7.61,"11,757","38,890",,,,,12/21/2015,N/A,N/A,
11/12/2015,V1.0,12/17/2015,Simply Fun Media,SFM036G,Princess Salon - Royal Family,GP,Mopub,Phone,Banner,320x50,e7175a5559d743a7b32406c9306acd86,,com.simplyfunmedia.android_royalfamily,Portrait,"8,911","23,483",$0.59,$0.53,$5.24,$12.35,"11,757","38,890",,,,,12/21/2015,N/A,N/A,
11/12/2015,V1.0,12/17/2015,Simply Fun Media,SFM036G,Princess Salon - Royal Family,GP,Mopub,Phone,Interstitial,320x480,4690c754d9c047828f8991f8f3813c35,,com.simplyfunmedia.android_royalfamily,Portrait,"4,373","9,194",$1.88,$1.59,$8.22,$14.59,"11,757","38,890",,,,,12/21/2015,N/A,N/A,
11/12/2015,V1.0,12/17/2015,Simply Fun Media,SFM036G,Princess Salon - Royal Family,GP,Mopub,Tablet,Banner,728x90,20ca35f6de6c4fceaa78ae1bf5cc83d9,,com.simplyfunmedia.android_royalfamily,Portrait,"9,594","23,741",$0.43,$0.37,$4.11,$8.84,"11,757","38,890",,,,,12/21/2015,N/A,N/A,
11/12/2015,V1.0,12/17/2015,Simply Fun Media,SFM036G,Princess Salon - Royal Family,GP,Mopub,Tablet,Interstitial,768x1024,4d1e69c9f28849f0b89fa26e9c9575b7,,com.simplyfunmedia.android_royalfamily,Portrait,"2,298","5,003",$2.08,$1.73,$4.77,$8.68,"11,757","38,890",,,,,12/21/2015,N/A,N/A,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Admob,Phone,Banner,320x50,ca-app-pub-3603147014841217/5658140087,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Admob,Phone,Banner,320x50,ca-app-pub-3603147014841217/5658140087,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,,,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Admob,Phone,Interstitial,320x480,ca-app-pub-3603147014841217/1088339683,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Admob,Phone,Interstitial,320x480,ca-app-pub-3603147014841217/1088339683,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,,,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Admob,Tablet,Banner,728x90,ca-app-pub-3603147014841217/7134873282,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Admob,Tablet,Banner,728x90,ca-app-pub-3603147014841217/7134873282,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,,,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Admob,Tablet,Interstitial,768x1024,ca-app-pub-3603147014841217/2565072889,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Admob,Tablet,Interstitial,768x1024,ca-app-pub-3603147014841217/2565072889,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,,,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Mopub,Phone,Banner,320x50,5ad5ba6837fb42b885252cca6786c2c6,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Mopub,Phone,Banner,320x50,5ad5ba6837fb42b885252cca6786c2c6,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,,,,,,,,,,,,,,
